Aviso,Fecha de aviso,Descripción,Orden,Grupo planif.,Clase de aviso,Status sistema,Fecha de cierre,Ce.emplazam.,Descripción,Duración parada
100000000,02/04/2025,daño en puerta de malacate,,P41,MC,MDIF,,C290,Malacate,0
100000001,02/04/2025,Puerta baño Porciparrilla hombres,60000179,P43,MC,MECE ORAS,21/05/2025,C460,,0
100000002,02/04/2025,Vitrina de refrigeracion esta congelando,,P42,MC,MECE,23/07/2025,C140,Vitrina refrigeracion N°02,0
100000118,08/04/2025,Espacio entre vidrio y pared parrilla,,P43,MC,METR,,C340,,0
100000120,01/04/2025,Mejorar la condición del piso sala pro,,P43,MC,METR,,C260,,0
100000122,01/04/2025,Cambio o reparación marco puerta de cava,,P42,MC,MDIF,,C250,,0
100000123,01/04/2025,Archivadores oficina jefe contabilidad,60000385,P43,MC,MECE ORAS,16/05/2025,A290,,0
100000124,01/04/2025,Puerta procesos,60000357,P43,MC,MECE ORAS,30/04/2025,C240,,0
100000125,01/04/2025,Instalación de puerta en administración,60000935,P43,MC,MECE ORAS,06/06/2025,C240,,0
100000127,01/04/2025,Tornillos oxidados,60000386,P43,MC,MECE ORAS,30/04/2025,C240,,0
100000128,01/04/2025,Reemplazar vidrio de puesto de pago,,P43,MC,MECE,05/08/2025,C310,,0
100000130,01/04/2025,Estructura de cortina enrollable,60000332,P43,MC,MECE ORAS,30/04/2025,C240,,0
100000131,01/04/2025,Revisión a cámara externa por fuerte agu,,P41,MC,MECE,29/07/2025,C400,CAM PV-CALI-Externa2,0
100000134,01/04/2025,Cambio de cortinas cava refrigeración,60000169,P42,MC,MECE ORAS,02/05/2025,C200,,0
100000141,01/04/2025,Palanca puerta desprendida cava,,P42,MC,MECE,28/07/2025,C260,,0
100000142,01/04/2025,Reparacion de acrilicos,,P43,MC,MECE,05/05/2025,C120,,0
100000143,01/04/2025,UPS del punto de venta requiere revision,,P41,MC,MECE,08/09/2025,C320,UPS,0
100000145,01/04/2025,Reparación ventana de PV Cali,60001117,P43,MC,MECE ORAS,29/07/2025,C400,,0
100000147,01/04/2025,Daño en cajonera de los baños,60000938,P43,MC,MECE ORAS,10/07/2025,C410,,0
100000148,01/04/2025,Solicitud cambio de la plataforma cavas,,P43,MC,METR,,C190,,0
100000149,01/04/2025,camara parrilla sin visual,60000379,P91,MC,MECE ORAS,21/08/2025,C320,CAM PV-SOLE_Zona Parrilla,0
100000150,01/04/2025,Camara fuera de linea,,P41,MC,MECE,29/07/2025,A160,CAM PV-MON_Apartamento #1,0
100000151,01/04/2025,Escaleras se encuentran oxidadas,60000672,P43,MC,MECE ORAS,14/08/2025,C120,,0
100000152,01/04/2025,Cambio de rieles de dos cajones,60000499,P43,MC,MECE ORAS,10/07/2025,A300,,0
100000154,01/04/2025,Revision de silla de puesto de trabajo,60000457,P43,MC,MECE ORAS,05/05/2025,A290,,0
100000155,01/04/2025,Limpieza de aire acondicionado,60000170,P42,MC,MECE ORAS,21/04/2025,C460,Aire acondicionado msplit - casette N°01,0
100000156,01/04/2025,Daño en mesa,,P43,MC,METR,,C410,,0
100000158,01/04/2025,Calibración termómetro sala de lactancia,,P44,MC,MECE,12/05/2025,A280,,0
100000159,01/04/2025,Solicitud cambio de gato de vitrina exhi,,P42,MC,MECE,19/08/2025,C300,Vitrina refrigeracion N°02,0
100000160,01/04/2025,Portacuchillos PV Caldas,,P43,MC,MECE,07/05/2025,C140,,0
100000166,01/04/2025,Arreglo lampara pasillo,,P41,MC,MECE,29/07/2025,C180,,0
100000169,01/04/2025,Camara No Funciona,,P91,MC,MECE,21/08/2025,C400,CAM PV-CALI-Mostrador 1,0
100000171,01/04/2025,Reflectores parte externa,,P41,MC,MECE,21/07/2025,C260,,0
100000173,01/04/2025,Pisos muy porosos,60000543,P43,MC,MECE ORAS,21/05/2025,C140,,0
100000174,10/04/2025,Fabricacion carro reparacion Nevera Even,60000200,P42,MC,MECE ORAS,02/05/2025,A400,Nevera vitrina refrigeracion eventos,0
100000175,01/04/2025,corrosión o oxidación de equipos,,P42,MC,MECE,19/08/2025,C330,Vitrina refrigeracion N°01,0
